,Capital,Country,Latitude,Longitude,AvgRatings,Ratings
0,Abu Dhabi,United Arab Emirates,23.99764435,53.6439097569213,8.4,{'53089160498e151fa7f9a9f5': 8.4}
1,Amman,Jordan,31.951569399999997,35.9239625,9.1,"{'4bb624ee46d4a593f8c0c5c0': 9.1, '59fcc6bb286fda734ff43df8': 9.1, '5762fb3b498edc75f25c0322': 9.1, '57cd2142498ea577c91035fb': 9.1, '4c6aa523b56e9c747cc5ca85': 9.1}"
2,Amsterdam,Netherlands,52.3745403,4.89797550561798,8.0,"{'529634bc11d2ab5263ab848c': 8.0, '50056329e4b0c7e958812543': 8.0, '56b874be498e1798d766b009': 8.0, '4f019124a69d45461f2458e7': 8.0, '4af3e8e7f964a52099ef21e3': 8.0}"
3,Andorra la Vella,Andorra,42.506939100000004,1.5212466999999998,7.9,"{'5745a9cc498e4f0f9a79db85': 7.9, '595a40052bf9a971a2e085ff': 7.9}"
4,Ankara,Turkey,39.921521899999995,32.8537929,8.1,"{'4f25511ce4b04f6e6a110d1b': 8.1, '51386bcbe4b086832dcf53a5': 8.1, '5bc9c70aa92d98002c95483b': 8.1, '4b517fcef964a520764e27e3': 8.1, '57f781ed498e5fcfddc8ed93': 8.1}"
5,Athens,Greece,37.9841493,23.7279843,7.9,"{'4b55dc00f964a52046f327e3': 7.9, '4b9f7ab4f964a520612537e3': 7.9, '4d8a3f786daeb60c7d9d60e0': 7.9, '4b306eddf964a52091f924e3': 7.9, '4b501c40f964a520e11c27e3': 7.9}"
6,Baku,Azerbaijan,40.3754434,49.8326748,8.0,"{'5698c3bc498eac8f3804d4df': 8.0, '576d0a8c498e1428dbedb9ab': 8.0, '57138e1c498ede1231af5a79': 8.0, '55f077b2498e0af5e12b6ed4': 8.0, '57d83e1b498e4ef4069ea1a0': 8.0}"
7,Bandar Seri Begawan,Brunei,4.8895453,114.9417574,7.6,"{'52fc9a45498e79749d33f0d0': 7.6, '4c4d13aff5afa59320d3f5d6': 7.6, '4d0e743d62a5548171929a49': 7.6, '54095eef498ef288f4d3512f': 7.6, '54072996498eef2f70359e26': 7.6}"
8,Bangkok,Thailand,13.7538929,100.8160803,8.3,"{'56c6a4c1498e6dd6d1bddb91': 8.3, '5a3c5fe36a5950360c29b7b6': 8.3, '4be63338910020a1f021d414': 8.3, '4b54906ef964a5203ac027e3': 8.3, '565d7e3e498ee555d18bea93': 8.3}"
9,Beijing,China,39.906217,116.3912757,7.7,"{'4be7eebbee96c9289b6efdbf': 7.7, '5b373a893d4791002c02abfd': 7.7, '5a61fbede96d0c0183b1f901': 7.7, '51679527e4b085a0b17afd64': 7.7, '4cb707ab1b0af04db6bed425': 7.7}"
