,Cluster Labels,Capital,Country,Latitude,Longitude,AvgRatings,Ratings
0,1,Abu Dhabi,United Arab Emirates,23.99764435,53.6439097569213,8.4,{'53089160498e151fa7f9a9f5': 8.4}
1,1,Amman,Jordan,31.9515694,35.9239625,9.1,"{'4bb624ee46d4a593f8c0c5c0': 9.1, '59fcc6bb286fda734ff43df8': 9.1, '5762fb3b498edc75f25c0322': 9.1, '57cd2142498ea577c91035fb': 9.1, '4c6aa523b56e9c747cc5ca85': 9.1}"
8,1,Bangkok,Thailand,13.7538929,100.8160803,8.3,"{'56c6a4c1498e6dd6d1bddb91': 8.3, '5a3c5fe36a5950360c29b7b6': 8.3, '4be63338910020a1f021d414': 8.3, '4b54906ef964a5203ac027e3': 8.3, '565d7e3e498ee555d18bea93': 8.3}"
16,1,Bucharest,Romania,44.4361414,26.1027202,8.4,"{'5491a88f498e12011af1a3a7': 8.4, '54eed7ad498e8e052f2d1fa7': 8.4, '525fd077498eed1c5a52c1d6': 8.4, '58124480d67ccc7829b81da5': 8.4, '57cd1e7ecd10abf33ed756bf': 8.4}"
19,1,Cairo,Egypt,30.048819,31.243666,9.0,"{'4bdf04120ee3a59313ac32b0': 9.0, '5ac227211f8ed65a8a965606': 9.0, '4c3f574ecc410f47f006a861': 9.0, '5389fa98498e382b6f98afef': 9.0, '58dc0bb1ef469469d1e8c9f2': 9.0}"
21,1,Doha,Qatar,25.2856329,51.5264162,8.3,"{'4ce11c2c94c3b60c68bd74ea': 8.3, '4b9d2789f964a520819436e3': 8.3, '5544cf0b498e6ee50a6249fc': 8.3, '58cece914bafb74648ea47bc': 8.3, '523a7fea11d2a9859dd064dc': 8.3}"
23,1,Guatemala City,Guatemala,14.6222328,-90.5185188,9.0,"{'5628e1b1498e2c6aac7934b1': 9.0, '55a808e8498e079a25bd42c0': 9.0, '4e860b4193ad9dc261dfb7b0': 9.0, '53363c54498ed4b327b7c919': 9.0, '565e1c4b498e70d23e2dc977': 9.0}"
24,1,Hanoi,Vietnam,21.0294498,105.85444409999998,8.7,"{'590d4a5e1108ba582673bec7': 8.7, '53d9d5e3498e8e6564986472': 8.7, '53ca9960498e9c4028310f03': 8.7, '53c3c697498eef9fa6d3c45a': 8.7, '541c0db5498e1c8f3cf1cf6e': 8.7}"
28,1,Kuwait City,Kuwait,29.379709100000003,47.9735629,9.3,"{'5644fad1498e387283e35085': 9.3, '58a025a003e29a66d99c5d5d': 9.3, '4bd16d5b41b9ef3bb4e7fbe5': 9.3, '52410d53498eb5e83997860f': 9.3, '58399782288b6a0d9c0c30bf': 9.3}"
30,1,Lisbon,Portugal,38.70775070000001,-9.1365919,8.3,"{'4c10f43281e976b08deb0feb': 8.3, '4b3fc213f964a5201bae25e3': 8.3, '547f1de1498edb5a93db226c': 8.3, '4b0d9ff3f964a5208b4c23e3': 8.3, '51ef5864498e35753486e1b5': 8.3}"
34,1,Manama,Bahrain,26.223504100000003,50.5822436,9.2,"{'5c29d763f870fd002cce4724': 9.2, '4bdc05e263c5c9b6f0362a68': 9.2, '5c1a3c3cc0c08400257333bb': 9.2, '4bf1a5d7189f0f473d83b762': 9.2, '52efd23b11d2203926fb2c5b': 9.2}"
39,1,Moscow,Russia,55.7504461,37.6174943,8.6,"{'4f3b52bfe4b0ce0258fcafd4': 8.6, '4ba755a8f964a520568c39e3': 8.6, '4c22330734faef3bab96586d': 8.6, '4b9914f2f964a520286035e3': 8.6, '4d5f776f29ef236a9b629959': 8.6}"
43,1,Nicosia,Cyprus,35.180282,33.3736958666529,8.3,"{'4d1f501486e15481311fb13a': 8.3, '4bb2196ff964a520b9b83ce3': 8.3, '56f2bf92498eb646d69a33f0': 8.3, '4c766e452db5236a1fa2bf79': 8.3, '5c4c628f2db4a9002cd9644c': 8.3}"
48,1,Panama City,Panama,8.9714493,-79.53418020000002,8.6,"{'5655d0a138fa700382e6516c': 8.6, '57e542b9498e9b2fd7c6bd13': 8.6, '55b138c5498e655d6e9759f2': 8.6, '565e1f9c498e92930ec592e9': 8.6, '57ed9a59498ea73594f09051': 8.6}"
53,1,Riyadh,Saudi Arabia,24.6319692,46.7150648,9.3,"{'566db885498e8b884eecff76': 9.3, '5a378e55d7627e096826ca3b': 9.3, '5a6b82fa35811b546ecca83c': 9.3, '4e3c350fa809ba757bf8fa7d': 9.3, '4c7c1f55566db60c31c34c0e': 9.3}"
54,1,San José,Costa Rica,9.9325427,-84.0795782,8.7,"{'561da3f7498ee3b75b76f2cb': 8.7, '56059049498ef91aac88e244': 8.7, '546e6cd6498ea38ffec6b10a': 8.7, '56301e35498e86f0e75933be': 8.7, '509c40f0c84c1d4d2cddf6f8': 8.7}"
60,1,Sofia,Bulgaria,42.6978634,23.3221789,8.4,"{'4ba0dbd1f964a520b58237e3': 8.4, '4b6d8a4cf964a5204a7b2ce3': 8.4, '597e3f81e1f2280f3b01cd77': 8.4, '53be6a99498ef20ed96a47f4': 8.4, '4bd2ee5177b29c74018d8f82': 8.4}"
68,1,Willemstad,Curaçao,12.1091242,-68.9316546,8.4,"{'4e480b8381305ff36220a929': 8.4, '518d4c49498eb09686757816': 8.4, '5793ceea498e85cfb782183e': 8.4}"
