,Cluster Labels,Capital,Country,Latitude,Longitude,AvgRatings,Ratings
11,0,Berlin,Germany,52.5170365,13.388859900000002,6.9,"{'4adf77c3f964a520df7a21e3': 6.9, '4adf768af964a520d47a21e3': 6.9, '4b13e4b9f964a520399a23e3': 6.9, '5b01a0aae727c4002d4f3803': 6.9, '4b06481bf964a5204aea22e3': 6.9}"
12,0,Bern,Switzerland,46.9482713,7.4514512,7.2,"{'4b7687ddf964a520b4502ee3': 7.2, '4b61bad2f964a5202a1f2ae3': 7.2, '5154642ae4b06d4258ccd4f8': 7.2, '4d148bf76d103704ff3422bd': 7.2, '53d7575b498e8f0cc76ac26e': 7.2}"
13,0,Bogotá,Colombia,4.5980772000000005,-74.07610279999999,6.7,"{'58d0742a951e7d532bac7fb2': 6.7, '54f83f18498edd745f1eead1': 6.7, '58436b69f776b011a2a55ed5': 6.7, '53c5c23a498e296011f6bf9f': 6.7, '552027a3498e5f130f87510d': 6.7}"
22,0,Dublin,Ireland,53.3497645,-6.2602732,7.3,"{'5290d704498e2d5c6000a181': 7.3, '4af1ea70f964a5205ee421e3': 7.3, '4e86d3266c25bffb164c5bd2': 7.3, '4e450bd2922ed454ab37b377': 7.3, '4af9a658f964a520e31222e3': 7.3}"
26,0,Jakarta,Indonesia,-6.1753942,106.827183,7.3,"{'51047707e4b0059ce06c2cf0': 7.3, '5783a0ff498ee3d0ff7299de': 7.3, '4b2b0e82f964a5201db424e3': 7.3, '534e4273498eb5f7aa4bd86e': 7.3, '4e500fd81fc7e04d29e3287e': 7.3}"
27,0,Kuala Lumpur,Malaysia,3.1516636,101.6943028,6.8,"{'5902d2f4646e387f2b2d705c': 6.8, '538daac6498e5865fbe6c3de': 6.8, '4bb31152a32876b0644801fe': 6.8, '543f4516498eab720ac1fac7': 6.8, '5245195811d22892e8b6452b': 6.8}"
31,0,London,United Kingdom,51.5073219,-0.1276474,6.8,"{'502904745dd7750e9d63bc17': 6.8, '4b77eb6ff964a520c4ae2ee3': 6.8, '5627cde9498e51412203646e': 6.8, '4c659c4aaebea59345db70d0': 6.8, '4b9e7bb3f964a520ece736e3': 6.8}"
32,0,Luxembourg,Luxembourg,49.8158683,6.1296751,7.2,"{'567eae1e498eab68b90d203b': 7.2, '568f8115498e8e46ad342700': 7.2, '58d5335bd7b473223aa3e035': 7.2, '5155b362e4b0fe49eee3df37': 7.2}"
35,0,Manila,Philippines,14.5906216,120.9799696,7.1,"{'4cd7475ab6962c0fc4b72f96': 7.1, '4bda44e6a8d976b0477b0cb5': 7.1, '5a1d0eed002f4c0f87924288': 7.1, '4f3ba270e4b0d6152f6a6e8f': 7.1, '53e73234498ec9c3ab79e59d': 7.1}"
41,0,Nassau,Bahamas,25.0783456,-77.33833309999999,6.5,"{'4bcf7dd041b9ef3b078cf8e5': 6.5, '4ccafe8eba0a5481c6af3359': 6.5, '4c3084793896e21e62a0e590': 6.5, '4d08db41143cb60c3d8e7da6': 6.5, '4baeb148f964a5205bcf3be3': 6.5}"
44,0,Nursultan,Kazakhstan,43.0863677,77.1203365,6.9,"{'5782361c498e2299113fdb5a': 6.9, '578b98d8498e9c3e0f513623': 6.9, '56730de1498e008eb7875c26': 6.9, '567964e7498e357066e39581': 6.9, '590ed3b4cad1b67f0cda61e4': 6.9}"
46,0,Oslo,Norway,59.9133301,10.7389701,6.4,"{'519e5ee1498e59575ef2ae8c': 6.4, '5279f00d11d29c3463c6b7f7': 6.4, '522750e611d2072952afd290': 6.4, '56b87d7e498e429dd7ab5737': 6.4, '54591a39498e5e36624f3872': 6.4}"
47,0,Ottawa,Canada,45.2603984,-75.80823829999999,6.5,"{'4b2b9f33f964a5205eb824e3': 6.5, '4b15a589f964a520b7b123e3': 6.5, '4e88dd719adfeba643c1f825': 6.5, '4b30d6b5f964a52001fc24e3': 6.5, '4e91d43f7ee60278a65c6243': 6.5}"
49,0,Paris,France,48.85661010000001,2.3514992,7.0,"{'4d9da49ec97a236afb68c199': 7.0, '4b73c62cf964a52073bb2de3': 7.0, '4b263913f964a520527924e3': 7.0, '4e552b70ae60e3d6b7f6ea7a': 7.0, '4c57b5de6418a5930a15800e': 7.0}"
