,Cluster Labels,Capital,Country,Latitude,Longitude,AvgRatings,Ratings
2,2,Amsterdam,Netherlands,52.3745403,4.89797550561798,8.0,"{'529634bc11d2ab5263ab848c': 8.0, '50056329e4b0c7e958812543': 8.0, '56b874be498e1798d766b009': 8.0, '4f019124a69d45461f2458e7': 8.0, '4af3e8e7f964a52099ef21e3': 8.0}"
3,2,Andorra la Vella,Andorra,42.5069391,1.5212466999999998,7.9,"{'5745a9cc498e4f0f9a79db85': 7.9, '595a40052bf9a971a2e085ff': 7.9}"
4,2,Ankara,Turkey,39.9215219,32.8537929,8.1,"{'4f25511ce4b04f6e6a110d1b': 8.1, '51386bcbe4b086832dcf53a5': 8.1, '5bc9c70aa92d98002c95483b': 8.1, '4b517fcef964a520764e27e3': 8.1, '57f781ed498e5fcfddc8ed93': 8.1}"
5,2,Athens,Greece,37.9841493,23.7279843,7.9,"{'4b55dc00f964a52046f327e3': 7.9, '4b9f7ab4f964a520612537e3': 7.9, '4d8a3f786daeb60c7d9d60e0': 7.9, '4b306eddf964a52091f924e3': 7.9, '4b501c40f964a520e11c27e3': 7.9}"
6,2,Baku,Azerbaijan,40.3754434,49.8326748,8.0,"{'5698c3bc498eac8f3804d4df': 8.0, '576d0a8c498e1428dbedb9ab': 8.0, '57138e1c498ede1231af5a79': 8.0, '55f077b2498e0af5e12b6ed4': 8.0, '57d83e1b498e4ef4069ea1a0': 8.0}"
7,2,Bandar Seri Begawan,Brunei,4.8895453,114.9417574,7.6,"{'52fc9a45498e79749d33f0d0': 7.6, '4c4d13aff5afa59320d3f5d6': 7.6, '4d0e743d62a5548171929a49': 7.6, '54095eef498ef288f4d3512f': 7.6, '54072996498eef2f70359e26': 7.6}"
9,2,Beijing,China,39.906217,116.3912757,7.7,"{'4be7eebbee96c9289b6efdbf': 7.7, '5b373a893d4791002c02abfd': 7.7, '5a61fbede96d0c0183b1f901': 7.7, '51679527e4b085a0b17afd64': 7.7, '4cb707ab1b0af04db6bed425': 7.7}"
10,2,Beirut,Lebanon,33.8959203,35.47843,7.8,"{'4bb72c4c2f70c9b6c8578630': 7.8, '4c8d1177c37a6dcb84c5fc7a': 7.8, '4e3994b6483b6aaecd646853': 7.8, '4b926a49f964a520ebf733e3': 7.8, '5479d4b0498eb0f50cef26f2': 7.8}"
14,2,Bratislava,Slovakia,48.1359085,17.1597440625,7.5,"{'5799a6f3498e27299438fd56': 7.5, '5745d8fa498eeab31f93c73a': 7.5, '58399bfbf697e03e51331f0d': 7.5, '58c80882113efc61a4475724': 7.5, '5a05b7873af9887646911aaf': 7.5}"
15,2,Brussels,Belgium,50.8465573,4.351697,8.0,"{'4e00a764b3ad0e090a6ff1ac': 8.0, '537e0ffb498ee5d4ff0d6f53': 8.0, '52ecb08a11d2949bffb3c7e2': 8.0, '581084bc38fa3ac0632acf74': 8.0, '50178bd8e4b0a3461e268aa3': 8.0}"
